Tumor Duke network  with 295 segments (582 subsegments with min. segment length  50.000000)												
990.000000 810.000000 150.000000 box dimensions in microns												
34 28 6 number of tissue points in x,y,z directions												
100	outer bound distance											
150	max. segment length											
4		maximum number of segments per node										
582	total number of segments											
SegName	Type	StartNode	EndNode	Diam	Flow[nl/min]	Hd						
118	5	5060	2977	8	0.5034	0.446415	*					
119	5	876	2983	6.8	-0.8792	0.4	*					
120	5	2983	5061	6.9	-0.2912	0.4	*					
121	5	5061	2987	6.9	-0.2912	0.4	*					
122	5	2983	2999	6.9	-0.588	0.4	*					
123	5	2999	5062	6.9	-0.2083	0.4	*					
124	5	5062	3005	6.9	-0.2083	0.4	*					
125	5	2999	5063	6.9	-0.3797	0.4	*					
126	5	5063	5064	6.9	-0.3797	0.4	*					
127	5	5064	5065	6.9	-0.3797	0.4	*					
128	5	5065	3035	6.9	-0.3797	0.4	*					
129	5	2814	5066	8	-0.237497	0.522503	*					
130	5	5066	2860	8	-0.237497	0.522503	*					
131	5	2814	5067	5.7	0.3109	0.422095	*					
132	5	5067	5068	5.7	0.3109	0.422095	*					
133	5	5068	2834	5.7	0.3109	0.422095	*					
134	5	2860	5069	8	0.12436	0.328472	*					
135	5	5069	2874	8	0.12436	0.328472	*					
136	5	2860	2890	8	-0.361857	0.45582	*					
137	5	2890	5070	8	0.221743	0.308909	*					
138	5	5070	5071	8	0.221743	0.308909	*					
139	5	5071	2874	8	0.221743	0.308909	*					
140	5	2890	5072	8	-0.5836	0.4	*					
141	5	5072	5073	8	-0.5836	0.4	*					
142	5	5073	5074	8	-0.5836	0.4	*					
143	5	5074	2926	8	-0.5836	0.4	*					
144	5	2874	2881	8	0.346103	0.315938	*					
145	5	2881	1174	6.5	0.032897	0.008316	*					
146	5	2881	5075	13	0.313206	0.348249	*					
147	5	5075	124	13	0.313206	0.348249	*					
148	5	1174	5076	9	-0.85149	0.147443	*					
149	5	5076	5077	9	-0.85149	0.147443	*					
150	5	5077	5078	9	-0.85149	0.147443	*					
151	5	5078	674	9	-0.85149	0.147443	*					
152	5	1174	5079	26	0.884386	0.142268	*					
153	5	5079	128	26	0.884386	0.142268	*					
154	5	128	134	20	-11.862533	0.37663	*					
155	5	128	126	26	12.746918	0.36037	*					
156	5	126	5080	10	-0.650577	0.235173	*					
157	5	5080	5081	10	-0.650577	0.235173	*					
158	5	5081	1885	10	-0.650577	0.235173	*					
159	5	126	124	26	13.397495	0.354291	*					
160	5	134	5082	20	-10.050875	0.420863	*					
161	5	5082	746	20	-10.050875	0.420863	*					
162	5	134	5083	16	-1.811658	0.131233	*					
163	5	5083	1356	16	-1.811658	0.131233	*					
164	5	1356	3624	16	-4.519357	0.164399	*					
165	5	1356	1352	13	2.7077	0.186589	*					
166	5	3624	5084	13	-1.016125	0.140377	*					
167	5	5084	5085	13	-1.016125	0.140377	*					
168	5	5085	3605	13	-1.016125	0.140377	*					
169	5	3624	5086	10	-3.503232	0.171366	*					
170	5	5086	1230	10	-3.503232	0.171366	*					
171	5	3605	3594	12	-2.439225	0.17064	*					
172	5	3605	3629	12	1.4231	0.192249	*					
173	5	746	5087	15	-8.472447	0.409495	*					
174	5	5087	5088	15	-8.472447	0.409495	*					
175	5	5088	730	15	-8.472447	0.409495	*					
176	5	730	5089	14	-7.387356	0.427032	*					
177	5	5089	712	14	-7.387356	0.427032	*					
178	5	730	5090	9	-1.085091	0.290102	*					
179	5	5090	5091	9	-1.085091	0.290102	*					
180	5	5091	712	9	-1.085091	0.290102	*					
181	5	712	5092	24.799999	-8.472446	0.409495	*					
182	5	5092	5093	24.799999	-8.472446	0.409495	*					
183	5	5093	5094	24.799999	-8.472446	0.409495	*					
184	5	5094	5095	24.799999	-8.472446	0.409495	*					
185	5	5095	2185	24.799999	-8.472446	0.409495	*					
186	5	2185	2180	31.5	-15.075183	0.398571	*					
187	5	2185	5096	26.700001	6.602735	0.384553	*					
188	5	5096	2201	26.700001	6.602735	0.384553	*					
189	5	2201	5097	11.3	1.285424	0.317598	*					
190	5	5097	5098	11.3	1.285424	0.317598	*					
191	5	5098	5099	11.3	1.285424	0.317598	*					
192	5	5099	2293	11.3	1.285424	0.317598	*					
193	5	2201	2202	16.1	5.317311	0.400739	*					
194	5	2202	5100	10.6	1.013511	0.299803	*					
195	5	5100	5101	10.6	1.013511	0.299803	*					
196	5	5101	5102	10.6	1.013511	0.299803	*					
197	5	5102	2293	10.6	1.013511	0.299803	*					
198	5	2202	2206	17.700001	4.3038	0.424509	*					
199	5	2206	5103	12.2	2.4188	0.473558	*					
200	5	5103	5104	12.2	2.4188	0.473558	*					
201	5	5104	5105	12.2	2.4188	0.473558	*					
202	5	5105	2236	12.2	2.4188	0.473558	*					
203	5	2206	3752	19.700001	1.885	0.361568	*					
204	5	2293	5106	11.4	2.298935	0.309753	*					
205	5	5106	5107	11.4	2.298935	0.309753	*					
206	5	5107	5108	11.4	2.298935	0.309753	*					
207	5	5108	5109	11.4	2.298935	0.309753	*					
208	5	5109	1885	11.4	2.298935	0.309753	*					
209	5	2180	5110	31.9	16.022219	0.401345	*					
210	5	5110	562	31.9	16.022219	0.401345	*					
211	5	2180	2176	34.099998	-31.09741	0.4	*					
212	5	562	5111	18.200001	14.33084	0.418538	*					
213	5	5111	5112	18.200001	14.33084	0.418538	*					
214	5	5112	5113	18.200001	14.33084	0.418538	*					
215	5	5113	594	18.200001	14.33084	0.418538	*					
216	5	562	5114	20	1.691379	0.25567	*					
